"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"116","5c8123c4366cb20001280842","test","ss","cn",6471,0.86,79,0.14,27,0.89,69,0.11,96,-20,0,"simple vs. simple","j"
"117","5c8123c4366cb20001280842","test","cc","ns",4465,0.62,180,0.38,23,0.56,159,0.44,26,19.86,10.1862079082615,"complex vs. complex","j"
"118","5c8123c4366cb20001280842","test","ss","rl",7976,0.87,48,0.13,115,0.17,58,0.83,80,-19.55,14.2684085186354,"simple vs. simple","j"
"119","5c8123c4366cb20001280842","test","cc","lr",4653,0.83,91,0.17,46,0.07,108,0.93,60,19.99,4.6564191846075,"complex vs. complex","f"
"120","5c8123c4366cb20001280842","test","ss","rl",7380,0.87,75,0.13,149,0.84,89,0.16,61,0.100000000000009,14.6214845900833,"simple vs. simple","f"
"121","5c8123c4366cb20001280842","test","ss","rl",7431,0.81,66,0.19,108,0.13,68,0.87,87,-10.55,10.0868727526797,"simple vs. simple","f"
"122","5c8123c4366cb20001280842","test","cc","cn",5558,0.82,98,0.18,11,0.12,143,0.88,85,-20,0,"complex vs. complex","j"
"123","5c8123c4366cb20001280842","test","ss","lr",4593,0.86,95,0.14,9,0.16,159,0.84,92,-19.76,5.27827898042035,"simple vs. simple","j"
"124","5c8123c4366cb20001280842","test","cc","lr",6953,0.88,87,0.12,11,0.93,65,0.07,104,10.15,14.7463431087983,"complex vs. complex","j"
"125","5c8123c4366cb20001280842","test","cc","ns",8680,0.58,24,0.42,82,0.57,57,0.43,84,-20.25,15.2593481178216,"complex vs. complex","j"
"126","5c8123c4366cb20001280842","test","cc","ns",7808,0.6,65,0.4,13,0.57,78,0.43,47,-20.47,10.1273450197817,"complex vs. complex","j"
"127","5c8123c4366cb20001280842","test","ss","ns",10937,0.33,19,0.67,56,0.62,54,0.38,28,-0.329999999999991,4.77782301586088,"simple vs. simple","j"
"128","5c8123c4366cb20001280842","test","ss","lr",9389,0.87,97,0.13,38,0.84,87,0.16,100,0.25,15.0760239077902,"simple vs. simple","j"
"129","5c8123c4366cb20001280842","test","cc","rl",9897,0.87,48,0.13,115,0.17,58,0.83,80,-19.55,14.2684085186354,"complex vs. complex","j"
"130","5c8123c4366cb20001280842","test","ss","lr",6377,0.81,49,0.19,9,0.17,44,0.83,29,9.85,10.0575442054485,"simple vs. simple","j"
"131","5c8123c4366cb20001280842","test","cc","cn",1955,0.87,97,0.13,38,0.84,87,0.16,100,20,0,"complex vs. complex","f"
"132","5c8123c4366cb20001280842","test","cc","ns",8899,0.37,119,0.63,16,0.45,87,0.55,8,10.56,10.4268399771305,"complex vs. complex","f"
"133","5c8123c4366cb20001280842","test","cc","lr",4248,0.82,98,0.18,11,0.12,143,0.88,85,-9.61999999999999,14.576539420644,"complex vs. complex","j"
"134","5c8123c4366cb20001280842","test","cc","rl",4590,0.18,167,0.82,99,0.19,59,0.81,111,10.12,5.72509983295567,"complex vs. complex","j"
"135","5c8123c4366cb20001280842","test","ss","rl",7316,0.88,93,0.12,192,0.93,100,0.07,31,9.70999999999999,14.5660479477596,"simple vs. simple","f"
"136","5c8123c4366cb20001280842","test","cc","rl",3065,0.83,59,0.17,138,0.86,101,0.14,42,-20.31,9.20275629814984,"complex vs. complex","j"
"137","5c8123c4366cb20001280842","test","ss","lr",10088,0.18,23,0.82,74,0.12,70,0.88,42,19.46,10.4946371533522,"simple vs. simple","f"
"138","5c8123c4366cb20001280842","test","ss","cn",6716,0.82,98,0.18,11,0.12,143,0.88,85,-20,0,"simple vs. simple","j"
"139","5c8123c4366cb20001280842","test","cc","ns",4725,0.44,89,0.56,41,0.54,60,0.46,43,9.94,15.353817060126,"complex vs. complex","f"
"140","5c8123c4366cb20001280842","test","ss","ns",8933,0.36,84,0.64,12,0.54,20,0.46,80,-9.68000000000001,4.65615409349493,"simple vs. simple","j"
"141","5c8123c4366cb20001280842","test","cc","rl",5174,0.86,72,0.14,199,0.16,19,0.84,128,-20.78,4.10729293514466,"complex vs. complex","j"
"142","5c8123c4366cb20001280842","test","ss","ns",6050,0.62,180,0.38,23,0.56,159,0.44,26,19.86,10.1862079082615,"simple vs. simple","f"
"143","5c8123c4366cb20001280842","test","cc","lr",7244,0.12,2,0.88,77,0.17,69,0.83,43,20.58,14.6056624289915,"complex vs. complex","f"
"144","5c8123c4366cb20001280842","test","cc","lr",1966,0.87,107,0.13,3,0.17,157,0.83,104,-19.53,15.067018810012,"complex vs. complex","j"
"145","5c8123c4366cb20001280842","test","cc","ns",3787,0.3,43,0.7,75,0.63,63,0.37,43,9.80000000000001,5.00815606020004,"complex vs. complex","j"
"146","5c8123c4366cb20001280842","test","ss","rl",8352,0.83,59,0.17,138,0.86,101,0.14,42,-20.31,9.20275629814984,"simple vs. simple","j"
"147","5c8123c4366cb20001280842","test","cc","ns",5656,0.41,19,0.59,124,0.37,13,0.63,89,20.07,14.9493696130005,"complex vs. complex","j"
"148","5c8123c4366cb20001280842","test","cc","lr",6467,0.86,95,0.14,9,0.16,159,0.84,92,-19.76,5.27827898042035,"complex vs. complex","f"
"149","5c8123c4366cb20001280842","test","ss","ns",10487,0.3,43,0.7,75,0.63,63,0.37,43,9.80000000000001,5.00815606020004,"simple vs. simple","f"
"150","5c8123c4366cb20001280842","test","ss","rl",5482,0.81,108,0.19,193,0.17,63,0.83,125,9.69,10.0563433540549,"simple vs. simple","f"
"151","5c8123c4366cb20001280842","test","ss","ns",10451,0.6,65,0.4,13,0.57,78,0.43,47,-20.47,10.1273450197817,"simple vs. simple","j"
"152","5c8123c4366cb20001280842","test","ss","rl",4009,0.82,89,0.18,195,0.12,46,0.88,127,-9.20000000000002,14.4019857190524,"simple vs. simple","j"
"153","5c8123c4366cb20001280842","test","ss","ns",6262,0.44,18,0.56,151,0.65,141,0.35,33,-10.72,14.5067469201563,"simple vs. simple","f"
"154","5c8123c4366cb20001280842","test","cc","lr",7067,0.86,79,0.14,27,0.89,69,0.11,96,-0.25,9.59530219834588,"complex vs. complex","j"
"155","5c8123c4366cb20001280842","test","cc","ns",8025,0.36,84,0.64,12,0.54,20,0.46,80,-9.68000000000001,4.65615409349493,"complex vs. complex","f"
"156","5c8123c4366cb20001280842","test","cc","ns",6847,0.33,19,0.67,56,0.62,54,0.38,28,-0.329999999999991,4.77782301586088,"complex vs. complex","f"
"157","5c8123c4366cb20001280842","test","cc","rl",5272,0.81,66,0.19,108,0.13,68,0.87,87,-10.55,10.0868727526797,"complex vs. complex","f"
